Model,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Train_AUC,Test_AUC
1D CNN,0.5390266299357208,0.539440203562341,0.5517241379310345,0.40816326530612246,0.46920821114369504,0.5698368353013896,0.5352999067647364
LSTM + Attention,0.5697887970615243,0.5063613231552163,0.5151515151515151,0.17346938775510204,0.2595419847328244,0.6153600307625624,0.5000258986843468
Bidirectional LSTM,0.546831955922865,0.5012722646310432,0.0,0.0,0.0,0.5750457264240123,0.4783745985703926
Simple LSTM,0.6294765840220385,0.49872773536895676,0.48936170212765956,0.11734693877551021,0.18930041152263374,0.672500984520056,0.48736144203874443
CNN-LSTM Hybrid,0.527089072543618,0.4961832061068702,0.4962686567164179,0.6785714285714286,0.5732758620689655,0.5598356294224346,0.4745156946027142
GRU,0.5316804407713499,0.4681933842239186,0.4694835680751174,0.5102040816326531,0.4889975550122249,0.5551626376536125,0.46446700507614214
