Model,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Train_AUC,Test_AUC
Decision Tree,0.7929616087751371,0.5210918114143921,0.515625,0.49748743718592964,0.5063938618925832,0.8972756517379679,0.513043156961277
Gradient Boosting,0.9684643510054844,0.5161290322580645,0.5147058823529411,0.35175879396984927,0.417910447761194,0.9958739973262032,0.5053453542220908
SVM (Linear),0.5712979890310786,0.5136476426799007,0.5405405405405406,0.10050251256281408,0.1694915254237288,0.6082102272727273,0.4770051236575032
Logistic Regression,0.576782449725777,0.511166253101737,0.525,0.10552763819095477,0.17573221757322174,0.6086313502673797,0.4913291949945807
SVM (RBF),0.6654478976234004,0.511166253101737,0.5208333333333334,0.12562814070351758,0.20242914979757085,0.7374590574866311,0.49699477781062174
Logistic Regression (L1),0.5776965265082267,0.5086848635235732,0.5151515151515151,0.08542713567839195,0.14655172413793102,0.6078425802139037,0.4902699773376687
LightGBM,0.9250457038391224,0.5037220843672456,0.49411764705882355,0.21105527638190955,0.29577464788732394,0.9775217245989305,0.4976598679672874
XGBoost,0.953382084095064,0.48635235732009924,0.45,0.18090452261306533,0.25806451612903225,0.9906383689839573,0.4410533057444084
Random Forest,0.9789762340036563,0.4838709677419355,0.4634146341463415,0.2864321608040201,0.35403726708074534,0.9984717580213904,0.48137747561336097
