日期,sentiment_score,sentiment_extreme,trend_strength,trend_consistency,bollinger_width_pct,ma_slope,MACD,BIAS1,basis_rate,adjusted_basis,basis_ma20,basis_std20,basis_quantile,basis_regime,SD（标准差）,volume_log,持仓量,institution_position_change,（沪深300）换手率,OBV,cpi_yoy,ppi_yoy,cn_us_yield_spread,usdcnh_change_5d,即期汇率_美元兑离岸人民币_USDCNH_,capital_inflow_log,liquidity_proxy,收盘价_元_,涨跌幅,OBV_pct_change_5d,institution_position_change_log,sentiment_score_zscore_20d,basis_high_vol,obv_macd_interaction,OBV_diff_5d,OBV_lag5,sentiment_score_rank_60d,volume_log_std_20d,basis_rate_diff_5d,volume_log_zscore_20d,sentiment_score_pct_change_5d,trend_vol_regime,sentiment_score_acceleration,basis_rate_pct_change_5d,capital_inflow_log_pct_change_5d,basis_rate_lag1,extreme_sentiment_signal,trend_strength_lag1,sentiment_score_lag1,trend_strength_diff_5d,trend_strength_acceleration,capital_inflow_log_diff_5d,bollinger_width_pct_pct_change_5d,currency_basis_spread,basis_momentum,MACD_diff_10d,basis_rate_std_20d,trend_reliability,basis_rate_lag5,capital_trend_align,basis_std20_log,basis_rate_robust,sentiment_high_vol,sentiment_score_diff_5d,持仓量_diff_10d,OBV_lag1,adjusted_basis_lag5,volume_turnover_intensity,OBV_rank_60d,macro_basis_coupling,sentiment_score_lag5,trend_strength_pct_change_5d,trend_strength_lag5,MACD_lag5,MACD_rank_60d,MACD_lag1,bollinger_width_pct_diff_5d,adjusted_basis_diff_10d,adjusted_basis_lag1,basis_rate_zscore_20d,sentiment_score_std_20d,direction_target,volatility_target,regime_volatility,regime_trend,regime_composite,sentiment_change_next,target,return_next
2015-12-01,31.484999999999996,0,-0.9305872448638408,1.0,15.394889146113425,0.2142857142857142,-40.9363,-1.29,-1.897980027235588,-1.4693608286984223,-80.7645,37.12112924708718,0.6166666666666667,-1,45.53,9.72136417610315,36856,-0.7681818181818182,0.57,-74000.0,2.030008826125318,-6.471183013144599,1.273,0.3127382489769736,6.4472,3.4762770244481747,400.0,3524.8,0.0085,0.0136986301369863,-0.5699517972660848,-1.5798522832763344,-1.4693608286984223,0.0001339839331144,-1000.0,-73000.0,0.0166666666666666,0.2859245905453453,0.7907714773053902,0.4080573972514392,-0.3649400943967081,2.0,-4.286499999999979,-0.2941035926785619,0.0363984777044827,-2.312525101841758,0,-1.3413581617384744,21.101,-0.7491168330253809,-0.335029265676476,0.1220873963933604,-0.133700734532172,-0.4595253326824994,0.9305872448638408,-46.7253,1.03822863639804,0.7,-2.688751504540978,3.4762770244481747,3.640768701828011,-2.694974564937699,-18.515000000000004,-18.092999999999993,11443.0,-74000.0,-1.0726836071954209,5.541177580378795,0.3416666666666667,-2.4161285746709034,49.57799999999999,4.128038424755572,-0.1814704118384599,-13.1384,0.0833333333333333,-39.0328,-2.3759779892750785,0.0395271674610877,-1.260713148878431,0.3160324757032186,20.142198582107397,1,0.0509750812567713,高波,强势上升,高波_0,28.512000000000004,1,0.04743531547889246
2015-12-02,59.997,0,0.3287720184719984,0.0,15.163079653871767,0.2857142857142857,-27.4328,3.41,-0.8112134344528711,-0.696349669929094,-79.66499999999999,37.19338445702979,0.7,-1,43.01,10.042478328073344,36302,-0.8498779495524817,0.89,-73000.0,2.030008826125318,-6.471183013144599,1.3499999999999996,0.383022451966486,6.4472,3.841368754614528,0.0,3692.0,0.0505,0.0,-0.6151196636990305,-0.1383302360562644,-0.696349669929094,8.85738277700595e-05,0.0,-73000.0,0.05,0.2859591713500512,1.532764914667562,1.4923668985190932,-0.034401178089467,0.0,-10.50749999999998,-0.6539159865716015,1.5874771827354373,-1.897980027235588,0,-0.9305872448638408,31.484999999999996,0.3754461575010971,0.3104962008053672,2.3567687047105137,-0.1525954606087977,-0.2667175580022947,-0.3287720184719984,-24.5701,1.0360843891018023,0.0,-2.343978349120433,0.0,3.6426623188616913,-0.9716325029707372,9.997,-2.1374999999999886,8243.0,-74000.0,-0.9988467189615188,8.937805711985275,0.35,-1.0951381365113757,62.13449999999999,-8.04398678392391,-0.0466741390290987,-11.3104,0.0666666666666666,-40.9363,-2.7304752529326297,0.5406205794028897,-1.4693608286984223,1.3301542544627365,20.756487833230583,1,0.016866688290626,高波,强势上升,高波_0,8.635000000000005,0,0.002058504875406264
2015-12-03,68.632,0,0.3417351505092296,0.0,14.341907539998234,0.2857142857142857,-17.7917,3.4,-1.3433884744296682,-1.174940870568774,-79.2955,37.66965419412909,0.85,-1,42.3,9.72526239403436,35381,-0.7911547911547911,0.83,-73000.0,2.030008826125318,-6.471183013144599,1.1309999999999998,-0.1927021818860064,6.4224,1.7857078617996198,100.0,3699.6,0.0113,0.0,-0.5828605465660631,0.3285527137067085,-1.174940870568774,5.744506472312587e-05,0.0,-73000.0,0.35,0.2985549738737846,1.3171795212011348,0.3287798074521521,0.1940880185815072,0.0,17.995499999999993,-0.4950745567729195,-0.476811612979797,-0.8112134344528711,0,0.3287720184719984,59.997,0.5330972731282894,1.1170910935243603,-1.6274180907278095,-0.1550893616517897,0.2264136693456466,-0.3417351505092296,-15.8082,1.0505901701522682,0.0,-2.660567995630803,0.0,3.655055163094843,-1.8155300213630132,18.632000000000005,11.155500000000004,2822.0,-73000.0,-1.206712890677324,8.071967787048518,0.8166666666666667,-1.5193723645799544,57.4765,-2.785803511332877,-0.1913621226190598,-13.4498,0.1166666666666666,-27.4328,-2.632559213120752,-0.2765880859394244,-0.696349669929094,0.7943630694742859,20.41650971550119,0,0.0214403518416712,高波,强势上升,高波_0,-8.612000000000002,0,-0.016650448697156373
2015-12-04,60.02,0,-0.1267034581469288,0.5,13.377395902181114,0.2142857142857142,-16.6184,0.83,-1.0882352941176472,-0.9385964689759018,-78.402,38.17100961118065,0.7333333333333333,-1,42.18,9.730629475429277,34766,-0.8152400835073069,0.63,-73000.0,2.030008826125318,-6.471183013144599,0.9640000000000004,-0.032574300428112,6.4447,3.490010745209458,0.0,3638.0,-0.0145,0.0,-0.5962177363834225,-0.05828935466782,-0.9385964689759018,5.365676487321589e-05,0.0,-73000.0,0.6166666666666667,0.2938166456244939,0.9072341100229736,0.3779602921725717,1.629054512801419,1.0,69.55250000000001,-0.4546469658419483,-0.0086036243425654,-1.3433884744296682,0,0.3417351505092296,68.632,1.173802310129366,2.367163598026167,-0.0302873221453801,-0.1757228333540546,0.0305741233611861,0.1267034581469288,-10.427700000000002,1.0650282259038548,0.35,-1.995469404140621,1.745005372604729,3.6679369224586806,-1.4109204108021731,10.020000000000003,37.1905,-233.0,-73000.0,-0.9366083319433604,6.1302965695204445,0.825,-1.0490588235294125,22.829500000000003,-0.9025737053709012,-1.3005057682762948,-29.3549,0.1166666666666666,-17.7917,-2.851848875537147,0.4202541879153457,-1.174940870568774,0.99904927923022,19.8479627764578,0,0.0160220994475138,高波,强势上升,高波_0,-2.4255000000000067,0,-0.004947773501924102
2015-12-07,57.5945,0,-0.3472293880310212,0.5,12.201230228471012,0.1428571428571428,-17.2591,-0.41,-1.8676795580110497,-1.621731791275323,-78.363,38.21228888859272,0.75,-1,41.69,9.618415404599752,34555,-0.7301854974704891,0.48,-73000.0,2.030008826125318,-6.471183013144599,1.1469999999999998,0.7346760887837478,6.4718,3.2386784521643803,0.0,3620.0,-0.0014,-0.0135135135135134,-0.5482286267329894,-0.1152016423699693,-1.621731791275323,5.572542908001494e-05,1000.0,-74000.0,0.3333333333333333,0.2933407163957308,0.4448455438307084,-0.0002677002756978,1.7294677977347046,1.0,62.643,-0.1923635524978394,-0.2277275971571374,-1.0882352941176472,0,-0.1267034581469288,60.02,0.9941287737074532,1.9939545525987297,-0.95502112876363,-0.2315383556187935,-1.1914475694704156,0.3472293880310212,-5.392099999999999,1.0643633677425437,0.35,-2.312525101841758,1.6193392260821902,3.6689901897239863,-2.646925541845928,7.5944999999999965,36.4935,-1728.0,-73000.0,-1.260713148878431,4.61683939420788,0.8166666666666667,-2.1422284530386735,21.101,-0.7411359635811268,-1.3413581617384744,-39.0328,0.1166666666666666,-16.6184,-3.676244356868755,-0.1846201717886255,-0.9385964689759018,0.267953860726169,18.78662352614632,0,0.0146401430487259,高波,强势上升,高波_0,-8.391999999999996,0,-0.011270718232044286
2015-12-08,49.2025,0,-0.7525530721454499,1.0,10.353137048720631,0.1428571428571428,-20.803,-1.83,-1.2242959320518552,-1.0510913636101855,-78.496,38.167750288761674,0.6166666666666667,-1,41.69,9.715710541777174,34220,-1.156862745098039,0.52,-74000.0,2.030008826125318,-6.471183013144599,0.8899999999999997,0.6297307358233084,6.4878,3.2900795838745327,-400.0,3579.2,-0.0137,0.0,-0.7686547330680904,-0.5147469691214862,-1.0510913636101855,6.808792588925672e-05,0.0,-74000.0,0.2833333333333333,0.2924954893838068,0.6736840951837328,0.3485622901895138,0.5627282833095126,2.0,35.8105,-0.3549479370259524,-0.0535623137236017,-1.8676795580110497,0,-0.3472293880310212,57.5945,0.1780341727183909,0.9271510057437718,-0.1861974405736419,-0.3274951868468392,-0.6619045378237667,0.7525530721454499,-7.6646,1.061718759643622,0.7,-1.897980027235588,3.2900795838745327,3.667853711480487,-1.6266788099720295,-0.7974999999999994,17.717500000000005,-2393.0,-73000.0,-1.4693608286984223,5.052169481724131,0.8083333333333333,-1.0896233795261507,31.484999999999996,-0.1913137899761779,-0.9305872448638408,-40.9363,0.1,-17.2591,-5.041752097392793,0.0215922435852353,-1.621731791275323,0.8815421972438143,17.712390809825663,1,0.0155849938773238,高波,强势上升,高波_0,2.524499999999989,0,0.003911488600804702
2015-12-09,51.72699999999999,0,-0.6294905305890734,1.0,7.411127609398192,0.0714285714285714,-21.513,-0.9,-1.1894689969943226,-1.066899623891672,-77.825,38.6756884741225,0.7333333333333333,-1,40.06,9.67369192514154,33226,-0.8428184281842819,0.47,-73000.0,2.030008826125318,-6.471183013144599,1.332,1.9202134259833856,6.571,3.2508627448057568,0.0,3593.2,0.0055,0.0,-0.6112961541296252,-0.2890972449419902,-1.066899623891672,6.946023580594362e-05,0.0,-73000.0,0.1333333333333333,0.2931209538516032,-0.3782555625414515,0.1788808518147212,-0.1378402253446007,1.0,-6.132500000000022,0.4662836517205473,-0.1537228127602727,-1.2242959320518552,0,-0.7525530721454499,49.2025,-0.958262549061072,-1.3337087065621689,-0.5905060098087711,-0.5112386283939476,-2.048674981973413,0.6294905305890734,-10.202600000000002,1.0729753144447909,0.7,-0.8112134344528711,3.2508627448057568,3.6807386191068416,-1.5714519356159111,1.7269999999999897,-8.27000000000001,-3759.0,-74000.0,-0.696349669929094,4.546635204816524,0.325,-1.584372703996438,59.997,-2.914671855332139,0.3287720184719984,-27.4328,0.0833333333333333,-20.803,-7.751952044473575,-0.0680529049301531,-1.0510913636101855,0.8911641357180357,16.691181930395135,0,0.0322399775721895,高波,强势上升,高波_0,-3.6284999999999883,0,-0.007291550706890693
2015-12-10,48.0985,0,-0.6482800856397406,1.0,6.99135899450117,0.0,-23.6033,-0.9,-1.5721895149985985,-1.391908627651809,-78.57950000000001,37.78220821539661,0.7333333333333333,-1,40.29,9.794300279729676,31831,-1.7558823529411764,0.5,-74000.0,2.030008826125318,-6.471183013144599,0.9299999999999996,1.1506601893373158,6.4963,3.426150123017732,-100.0,3567.0,-0.0066,0.0136986301369863,-1.013737664628215,-0.4434580819559359,-1.391908627651809,7.725326833350445e-05,-1000.0,-73000.0,0.1833333333333333,0.293129809660298,-0.2288010405689302,0.5734505963984314,-0.2991825970392819,1.0,-31.689000000000007,0.1703163641224978,0.9186509710299922,-1.1894689969943226,0,-0.6294905305890734,51.72699999999999,-0.9900152361489702,-1.5231125092772595,1.640442261218112,-0.5125223771661527,-1.6016138450340738,0.6482800856397406,-10.1535,1.0453849049758523,0.7,-1.3433884744296682,3.426150123017732,3.657961590312927,-2.1783516793462763,-1.9014999999999984,-20.533500000000004,-4756.0,-73000.0,-1.174940870568774,4.897150139864838,0.8,-1.462136248948696,68.632,-2.8970248880564946,0.3417351505092296,-17.7917,0.0833333333333333,-21.513,-7.350548545497063,-0.185195736974485,-1.066899623891672,0.5707238963197011,15.24608487621094,1,0.0209295853047592,高波,震荡,高波_0,2.2819999999999965,0,0.007289038407625403
2015-12-11,50.3805,0,-0.1864268457091792,0.0,6.804798255179935,0.0,-22.1847,0.07,-0.4191483440022265,-0.372956900124891,-79.45750000000001,36.99819069189314,0.6833333333333333,0,40.38,9.728340398060448,29981,-1.5988700564971752,0.46,-73000.0,1.6710642040457246,-5.900305188199384,0.8621000000000003,1.4399428988160825,6.5375,3.308204514812991,0.0,3593.0,0.0039,0.0,-0.9550767569093116,-0.2093108493415078,-0.372956900124891,7.162899146023879e-05,0.0,-73000.0,0.1333333333333333,0.295534376083332,0.6690869501154206,0.3191843617379249,-0.1606047984005332,0.0,-46.830000000000005,-0.614836656862819,-0.0520933153704533,-1.5721895149985985,0,-0.6482800856397406,48.0985,-0.0597233875622504,-1.2335256976916165,-0.1818062303964671,-0.4913211580984571,-0.5370366398992957,-0.0,7.170200000000001,1.0207643522530665,0.0,-1.0882352941176472,0.0,3.6375385452216,-0.3499145868242606,0.3804999999999978,-9.639500000000004,-6574.0,-74000.0,-0.9385964689759018,4.475036583107806,0.3083333333333333,-0.3613477873643196,60.02,0.471363516321658,-0.1267034581469288,-16.6184,0.0833333333333333,-23.6033,-6.572597647001179,0.5636514318184693,-1.391908627651809,1.74086074130006,14.316743733622072,1,0.0425130664367692,高波,震荡,高波_0,20.944500000000005,1,0.0330642916782633
2015-12-14,71.325,0,0.6211696130413822,0.0,7.014560990496123,0.0666666666666666,-11.1049,2.85,0.0129317312355191,0.011318085090354,-79.0085,37.752910557019575,0.9333333333333332,0,42.41,9.925097858721378,26114,0.54375,0.63,-73000.0,1.6710642040457246,-5.900305188199384,1.7600000000000002,1.2902129237615467,6.5553,3.3749800239051138,0.0,3711.8,0.0341,0.0,0.4342145213941502,1.3892576551978135,0.011318085090354,3.585501662257348e-05,0.0,-73000.0,0.1833333333333333,0.296116675894526,1.8806112892465687,0.9606077168814072,0.2383994999522525,0.0,-22.76299999999999,-1.006923956082322,0.042085552410936,-0.4191483440022265,0,-0.1864268457091792,50.3805,0.9683990010724034,-0.0257297726350498,0.1363015717407334,-0.4250939569906675,0.0146027396558076,0.0,27.9279,1.0399643365353128,0.0,-1.8676795580110497,0.0,3.657205864127547,0.3352571627861296,21.325000000000003,13.730500000000006,-10726.0,-73000.0,-1.621731791275323,6.252811650994468,0.7916666666666666,0.0227598469745136,57.5945,-2.788931566431489,-0.3472293880310212,-17.2591,0.1,-22.1847,-5.186669237974889,1.272031233968785,-0.372956900124891,2.11329648492959,13.677483467267097,0,0.0141129032258065,高波,强势上升,高波_0,-3.4780000000000086,0,-0.011153618190635317
